Track Name,Artist,Genres,Energy,Acousticness,Danceability,Valence,Loudness,Instrumentalness,Speechiness,Liveness,Tempo,Lyrics
In Two II,Blue Hawaii,"art pop,chillwave,escape room,quebec indie",0.346,0.0732,0.939,0.5,-9.165,0.672,0.255,0.112,117.02,"In Two II LyricsOh God has left me in two
Not knowing where to go
Sometimes when I think back on my life
I see the one thing that has gone wrong
And that's never knowing when to put my foot down
It's only knowing how to get out
So what is instead?
So what is instead?
Closed time goes by
Just time goes by
Oh there's a cloud now swimming all around me
And on the other side, there's a family
Oh how much I want us for me by for so long
Oh how much I want us for me die try fighting for
So what is instead?
So what is instead?
In two
In two
Take my arms
Tie them in the bottom
A man with hands
He has nothing to show
Show
For a sigh who is
The bedding, a biggest
My emotions sprung
A silent all life long
I let you do this to me
It doesn't hurt
It only makes you sicker
And me wiser; the end to usYou might also likeEmbed"
Blue Gowns,Blue Hawaii,"art pop,chillwave,escape room,quebec indie",0.668,0.0881,0.616,0.344,-8.114,0.535,0.0369,0.0838,150.017,"Blue Gowns LyricsWhen love is spent
My time I do regret
And I ask myself
How stupid can I get

My day dreams go through
I think about you thrusting into her
And I ask myself
How stupid can you get

When love is spent
It is a time I do respect
And I ask myself
How foolish did we get
My day dreams go through
Now I no longer think of her
And I ask myself
How stupid do we getYou might also likeEmbed"
Lonelyhearts,Blue Hawaii,"art pop,chillwave,escape room,quebec indie",0.716,0.05,0.541,0.118,-9.902,0.544,0.0435,0.112,137.073,"​vwm’s immaculate collection LyricsVinylA Certain Ratio
- ""Lifes A Scream / There's Only This""

Al Caiola And His Orchestra
- ""The Magnificent Seven""

Alias
- Contraband
Amant
- ""If There's Love"" / ""Hazy Shades of Love""
America
- ""A Horse With No Name""

Andrew Gold
- ""Lonely Boy""

Andy Gibb
- Shadow Dancing
Andy Williams
- Love Theme From ""The Godfather""
Dvořák, Rochester Philharmonic Orchestra, José Iturbi
- Symphony No. 5, In E Minor
Arthur Laurents, Leonard Bernstein, Stephen Sondheim, Jerome Robbins
- West Side Story
Average White Band
- ""Pick Up the Pieces""

The B-52's
- The B-52's
- Wild Planet
- ""PARTY MIX!""
Bachman-Turner Overdrive
- Bachman-Turner Overdrive II
The Band
- The Band
Barbara Carroll
- Barbara Carroll
Barbra Streisand
- A Christmas Album
Barry Ryan
- ""Can't Let You Go""

Barry White
- Let the Music Play
The Beach Boys
- Concert
- ""Help Me Rhonda""
- Pet Sounds
- Wild Honey
The Beatles
- Meet the Beatles!
- A Hard Day's Night
- Rubber Soul
- Revolver
- ""Yesterday""...And Today
- Sgt. Pepper's Lonely Hearts Club Band
- ""Hello Goodbye""
- The Beatles
- The Beatles
- Abbey Road
- Abbey Road
- ""Hey Jude""
- ""You Know My Name (Look Up the Number)""
Bell & James
- ""LIVIN' IT UP (Friday Night)""

Bill Cosby
- Why is There Air?
Billy Joel
- Greatest Hits Volume I & Volume II
Billy Squier
- Emotions in Motion
B.J. Thomas
- ""Hooked on a Feeling""

Black Ice
- Black Ice
Blondie
- ""Heart of Glass""

Bob Conrad
- ""Ballin' the Jack""

Bobby Darin
- ""You Must Have Been A Beautiful Baby"" / ""Sorrow Tomorrow""

Bob Dylan
- Bringing it All Back Home
- Blonde on Blonde
- Bob Dylan's Greatest Hits
- Blood on the Tracks
Bobbi Humphrey
- Satin Doll
Bob James
- Three
Bob Seger | Bob Seger & The Silver Bullet Band
- Night Moves
- Stranger in Town
Brainstorm
- Journey to the Light
Brenda & The Tabulations
- ""Super Star / Everybody's Fool""

Brian Eno
- Another Green World
Brooklyn Dreams
- ""Street Man""

The Brothers Johnson
- Right on Time
- ""Stomp!""
- Blast!
Bruce Springsteen
- Born to Run
- Nebraska
- Born In the U.S.A.
Buffalo Springfield
- ""For What it's Worth""

Cameo
- ""Post Mortem / Good Times""

Carole King
- Tapestry
- Tapestry
Carpenters
- Close to You
- Ticket to Ride
The Cars
- The Cars
Cass ""Mama Cass"" Elliott
- Bubble Gum, Lemonade &... Something For Mama
Cat Stevens
- Numbers
César Franck
- ""Symphony In D Minor Part Elven / Symphony In D Minor Part Twelve""
- Symphony In D Minor Vol. 2
Cher
- ""Take Me Home""

Chris Rush
- First Rush
The Clash
- Combat Rock
Classics IV
- ""Traces / Mary, Mary Row Your Boat""

Claude Debussy
- Afternoon Of A Faun / Clouds / Festivals
Cory Daye
- ""Pow Wow / Green Light""

Creedence Clearwater Revival
- Creedence Clearwater Revival
- Bayou Country
- Green River
- ""Green River""
- Cosmo's Factory
The Crickets
- The ""Chirping"" Crickets
Crown Heights Affair
- ""(Do it) The French Way""

Cyndi Lauper
- ""Time After Time""

David Bowie
- Low
- Tonight
Deborah Washington
- Any Way You Want It
Diana Ross
- Diana
- Silk Electric
Dire Straits
- Dire Straits
The Disneyland Children's Sing-Along Chorus
- ""It's A Small World""

Dolly Parton
- ""9 to 5""

Don McLean
- American Pie
Donna Summer
- Bad Girls
Donovan
- ""Superman Sunshine""

The Doors
- The Doors
- The Doors
- Strange Days
- ""Hello, I Love You""
- ""Hello, I Love You""
- L.A. Woman
- L.A. Woman
Duran Duran
- Duran Duran
- Rio
- Arena | Recorded Around The World 1984
- ""Save A Prayer""

Dynasty
- ""I Don't Want to Be A Freak (But I Can't Help Myself)""

Eagles
- Eagles
- ""Hotel California / New Kid In Town""

Earth, Wind & Fire
- ""Let's Groove""

Eddie Fisher
- ""I'm in the Mood for Love""

Egon Petri
- Concerto No. 1 In B Flat Minor (For Piano And Orchestra)
El Coco
- ""Just Be You""

Elkie Brooks
- ""Nights in White Satin""

Elvis Costello & The Attractions
- This Year's Model
Eric Clapton
- Slowhand
- Backless
- Another Ticket
Esquire
- Esquire
Ferrante & Teicher
- ""Exodus"" / ""Twilight""
- ""Theme From The Apartment""

Flatt & Scruggs
- ""Theme From Bonnie & Clyde"" / ""My Cabin In Caroline""

Fleetwood Mac
- Rumours
- ""Gypsy""

Foreigner
- 4
The Foundations
- ""Build Me Up Buttercup""

Frank Ocean
- Blonde
French Link Springs Hotel Orchestra
- Monon Centennial Music
Funkadelic
- Funkadelic
- One Nation Under A Groove
- ""One Nation Under A Groove""

G.Q.
- ""Disco Nights (Rock-Freak)"" / ""Boogie Oogie Oogie""

The Gap Band
- ""You Dropped A Bomb On Me""

George Gershwin
-  An American In Paris
Giorgio Moroder
- Music From ""Battlestar Galactica"" and Other Original Compositions From Giorgio Moroder
Giuliano and His Orchestra
- A Touch Of Italy
Glenn Gould
- Bach: The Goldberg Variations (1982)

Gloria Gaynor
- ""I Will Survive""

Grand Funk Railroad
- Live Album
- Survival
The Grateful Dead
- American Beauty
- American Beauty
Guns N' Roses
- Appetite for Destruction
Harold Melvin & The Blue Notes featuring Theodore Pendergrass
- To Be True
Heart
- Magazine
Henry Mancini
- ""Love Theme From Romeo & Juliet / The Windmills Of Your Mind""

Herman's Hermits
- ""There's A Kind Of Hush (All Over The World)""

Holme
- ""Garden State Parkway Boogie""

The Human League
- ""Don't You Want Me (Special Extended Dance Mix) / Love Action (I Believe In Love)""

Impact
- ""Rainy Days, Stormy Nights / Carry Me Back""

The Incredible String Band
- Liquid Acrobat as Regards the Air
It's A Beautiful Day
- ...Today
James Swittel
- Hymns to the Sacred Heart of Jesus
Janet Jackson
- Janet Jackson
Janis Ian
- ""Society's Child (Baby I've Been Thinking)""

Janis Joplin
- Pearl
Jefferson Airplane
- The Worst Of Jefferson Airplane
Jeffrey Osborne
- Jeffrey Osborne
Jethro Tull
- Stand Up
Jimmy Buffett
- ""Margaritaville""

The Jimi Hendrix Experience
- Axis: Bold As Love
Jimmy Boyd
- ""I Saw Mommy Kissing Santa Claus / Thumbelina""

Joachim Ngoi
- ""Missa Luba""

Joe Walsh
- ""But Seriously, Folks...""
John Cale
- Paris 1919
John F. Kennedy
- A Memorial Album
John Lennon
- John Lennon / Plastic Ono Band
- Imagine
John Sebastian
- ""The Four of Us""
Joni Mitchell
- Blue
- Court and Spark
- The Hissing Of Summer Lawns
The Juan Maclean
- ""Dance With Me""

Joy Division
- Closer
Karen Young
- ""Hot Shot""

Kenny Logins
- ""Danger Zone""

The Kinks
- ""All Day And All Of The Night""

KISS
- Alive!
- Ace Frehley
Kool & The Gang
- ""Celebration""

Kraftwerk
- Trans-Europe Express
Le Pamplemousse
- ""Le Spank""

Led Zeppelin
- Led Zeppelin
- ""Whole Lotta Love""
- *
- Physical Graffiti
Long Sound Drifters
- ""We're All Gettin' Higher Down In New Orleans / I Can't Seem To Forget You""

The Look UK
- The Look UK
Lou Rawls
- When You Hear Lou, You've Heard It All
Lou Reed
- Rock N Roll Animal
- Street Hassle
Ludwig van Beethoven
- Symphony No. 3 In E Flat ""Eroica""
Love
- Love
Lynyrd Skynyrd
- ""Sweet Home Alabama""

M
- ""Pop Muzik""

Madonna
- Madonna
- ""Angel""
- ""Papa Don't Preach""

The Mamas & The Papas
- ""California Dreamin'""

Mario Lanza
- Mario Lanza Sings The Hit Songs From The Student Prince
- ""Be My Love"" / ""I'll Never Love You""
- The Toast Of New Orleans
- ""Arrivederci Roma"" / ""Younger Than Springtime""

Mark Dinning
- ""Teen Angel"" / ""Bye Now Baby""

Men At Work
- Business As Usual
Michael Jackson
- Off the Wall
Mitch Ryder And The Detroit Wheels
- ""Too Many Fish In The Sea & Three Little Fishies / One Grain Of Sand""

Mobb Deep
- ""Survival of the Fittest""

The Monkees
- More of the Monkees
The Moody Blues
- ""Tuesday Afternoon (Forever Afternoon)""
- Days Of Future Passed
Neil Young | Neil Young and Crazy Horse
- Everybody Knows This Is Nowhere
- After the Gold Rush
- After the Gold Rush
- Harvest
- Tonight's the Night
- Rust Never Sleeps
Nena
- ""99 Red Balloons""

New Order
- ""Confusion""

Nina Simone
- In Concert
- The High Priestess Of Soul
Nirvana
- Nevermind
Norma Jean
- ""Saturday""

Patti Smith
- Horses
Pink Floyd
- Meddle
- Dark Side of the Moon
- Animals
Pointer Sisters
- ""He's So Shy""

The Police
- Regatta de Blanc
- ""De Do Do Do, De Da Da Da""
- Zenyatta Mondatta
- ""Every Breath You Take""
- Synchronicity
Prince | Prince & The Revolution
- Dirty Mind
- 1999
- Purple Rain
- Sign O' the Times
- Around the World In A Day
- ""If I Was Your Girlfriend""

Pyotr Tchaikovsky
- Nutcracker Suite, Op. 71a
- ""The Swan Lake"" Ballet Suite. Op. 20 / ""The Sleeping Beauty""- Ballet Suite, Op. 66
Randy Newman
- Sail Away
R.E.M.
- Reckoning
Rhythm Heritage
- Sky's the Limit
Richard Harris
- ""Mac Arthur Park""

Rick Springfield
- Working Class Dog
Rickie Lee Jones
- Rickie Lee Jones
Ringo Starr
- Ringo
Roberta Flack
- ""Killing Me Softly With His Kindness""

The Roches
- Another World
Rod Stewart
- Blondes Have More Fun
Roger Daltrey
- Daltrey
- One of the Boys
Roger McGuinn
- Thunderbyrd
The Rolling Stones
- Out of Our Heads
- Got Live if You Want It!
- Flowers
- Their Satanic Majesties Request
- Through the Past, Darkly
- Let it Bleed
- Get Yer Ya-Ya's Out! - The Rolling Stones In Concert
- Sticky Fingers
- Exile On Main St.
- Goats Head Soup
- Black And Blue
- 30 Greatest Hits
- Love You Live
- Some Girls
- Emotional Rescue
- Still Life (American Concert 1981)
- Undercover
- Dirty Work
The Romantics
- In Heat
The Routers
- ""LET'S GO (pony)""

The Royal Guardsmen
- ""Snoopy Vs. The Red Baron""

Sammy Hagar
- ""I Can't Drive 55""

Santana
- Inner Secrets
Sex Pistols
- Never Mind The Bollocks Here's The Sex Pistols
Shotgun
- Good, Bad & Funky
Simon & Garfunkel
- Wednesday Morning, 3 A.M.
- ""Mrs. Robinson""
- ""Bridge Over Troubled Water""
- Bridge Over Troubled Water
Slave
- ""Just A Touch Of Love""

Sly & The Family Stone
- There's A Riot Goin' On
The Smiths
- Hatful of Hollow
Sonic Youth
- EVOL
Stan Kenton
- The Ballad Style of Stan Kenton
Steely Dan
- Aja
Steppenwolf
- ""Born to be Wild""

Steve Miller Band
- Fly Like an Eagle
Stevie Wonder
- Songs in the Key of Life
- ""I Just Called to Say I Love You""

Sting
- ...Nothing Like the Sun
The Stone Roses
- The Stone Roses
Sugarhill Gang
- ""Rapper's Delight""

Supertramp
- Breakfast in America
Sylvester
- ""Someone Like You""

Talk Talk
- ""It's My Life""

Talking Heads
- Fear of Music
- Remain in Light
- Speaking in Tongues
Tears For Fears
- ""Everybody Wants To Rule The World""

Teegarden & Van Winkle
- But Anyhow, Teegarden & Van Winkle
Teenage Jesus And The Jerks
- Teenage Jesus And The Jerks
Three Dog Night
- ""One""

Tom Jones
- Live! At the Talk of the Town
Tommy James & The Shondells
-  Crimson & Clover
Topaz
- Topaz
Tyrone Davis
- I Can't Go On This Way
Various
- 98.7 Kiss FM Presents Shep Pettibone's Master Mixes
- Selections From ""Bloomer Girl""
- ""Take Me Out To The Ball Game / The Umpire // Casey At The Bat""
- WOR FM 98.7: Solid Gold
- Disco Hustle
- Flashdance (Original Soundtrack From The Motion Picture)
- Thank God It's Friday (The Original Motion Picture Soundtrack)
The Velvet Underground
- The Velvet Underground
- Loaded
- Live At Max's Kansas City
The Ventures
- ""Hawaii Five-O""

Victor Young
- Around the World in 80 Days
Wang Chung
- ""Dance Hall Days""

The Whispers
- ""And the Beat Goes On""

The Who
- Tommy
- Odds & Sods
Woody Herman And His Woodchoppers
- Woody Herman And His Woodchoppers
X-Ray Spex
- Germfree Adolescents
XTC
- English Settlement
Yes
- Tormato
Test Pressings
- *
- *
- *Cassettes
Michael Jackson
- Off the Wall
Pat Benatar
- Get Nervous
Talking Heads
- Talking Heads: 77
- Speaking in TonguesCDs
The Beatles
- The Beatles In Mono
Bob Dylan
- Highway 61 Revisited
Creedence Clearwater Revival
- Chronicle (The 20 Greatest Hits)
The Doors
- The Best of the Doors [2x CD]
- The Best of the Doors
Green Day
- Dookie
- nimrod.
Alanis Morissette
- Jagged Little Pill
Nirvana
- IN UTERO
Pixies
- TROMPE LE MONDE
Lou Reed
- Rock N Roll Animal
Pink Floyd
- Atom Heart Mother
The Rolling Stones
- Sticky Fingers
- Hot Rocks 1964 - 1971
- Goats Head Soup
- Rewind (1971-1984)
- Steel Wheels
Sade
- Diamond Life
- Promise
Smashing Pumpkins
- Siamese Dream
Various
- EMI Music Resources: The Standards (Volume 1)
- wfuv 90.7 New Names New Music
The Velvet Underground
- The Velvet Underground & Nico
- The Velvet Underground
- VUEmbed"
I Felt Love,Blue Hawaii,"art pop,chillwave,escape room,quebec indie",0.684,0.156,0.79,0.576,-7.748,0.0829,0.0588,0.0743,132.99,"I Felt Love Lyrics[Verse 1]
It's too loud
Talkin' to you in all these airports
You can't hear me
I'm puttin' too much on the line
And you're tellin' me not to worry
It's too loud
Talkin' to you in all these airports
You can't hear me
I'm puttin' too much on the line
And you're tellin' me not to worry
But the tone of your voice
Is makin' me want to cry
The tone of your voice
Is makin' me want to cry
[Chorus]
I sink my face to my hand
Universe, I don't wanna be alone again
'Cause I felt love
Stronger than a river
That drowns the swimmer
I'm gasping for air
Need to come up

[Verse 2]
I'm three minutes to boarding
Just tell me I'm all you need
I'm three minutes to boarding
Just tell me I'm all you need
And won't fool around again, oh
Don't fool around again

[Chorus]
Lean against the speckle stall
Right eye is tearing up, straight up
Sink my face to my hands
Universe, I don't wanna be alone again
'Cause I felt love
Stronger than a river
That drowns the swimmer
I'm gasping for air
'Cause I felt love
Gasping for air
'Cause I felt love
I'm gasping for air
'Cause I felt love
I'm gasping for airYou might also likeEmbed"
Rosa Morena,João Gilberto,"bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao",0.163,0.832,0.569,0.54,-15.303,6.32e-06,0.0463,0.0669,155.391,"Rosa Morena Lyrics[Letra de ""Rosa Morena""]

[Verso]
Rosa morena
Onde vais, morena Rosa
Com essa rosa no cabelo e esse andar de moça prosa?
Morena, morena Rosa
Ô, rosa morena
Onde vais, morena Rosa
Com essa rosa no cabelo e esse andar de moça prosa?
Morena, morena Rosa
Rosa morena, o samba está esperando
Esperando pra te ver
Deixa de lado esta coisa de dengosa
Anda, Rosa, vem me ver
Deixa da lado esta pose
Vem pro samba, vem sambar
Que o pessoal tá cansado de esperar
[Saída]
Ô Rosa, que o pessoal tá cansado de esperar
Morena Rosa, que o pessoal tá cansado de esperar
Viu, Rosa? Que o pessoal tá cansado de esperarYou might also likeEmbed"
Morena Boca De Ouro (Brunette With a Mouth of Gold),João Gilberto,"bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao",0.295,0.781,0.637,0.599,-12.875,0,0.0358,0.127,85.236,
A Felicidade (Cantando As Musicas do Fil Orfeo do Carnaval),João Gilberto,"bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao",0.464,0.465,0.422,0.879,-11.373,0,0.039,0.108,100.44,
Hó-Bá-Lá-Lá,João Gilberto,"bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao",0.281,0.689,0.624,0.605,-15.18,7.04e-05,0.0317,0.129,140.354,"Ho-Bá-Lá-Lá Lyrics[Letra de ""Hó-Bá-Lá-Lá""]

[Intro]
Dju-bum-dju
Um-pó-um-bó
Dju-bum-dju
Um-pó-um-bó

[Verso 1]
É amor
O hó-bá-lá-lá, hó-bá-lá-lá
Uma canção
[Verso 2]
Quem ouvir o hó-bá-lá-lá
Queira feliz o coração
O amor encontrará ouvindo esta canção
Alguém compreenderá seu coração

[Verso 3]
Vem ouvir
O hó-bá-lá-lá, hó-bá-lá-lá
Esta canção

[Verso 1]
É amor
O hó-bá-lá-lá, hó-bá-lá-lá
Uma canção

[Verso 2]
Quem ouvir o hó-bá-lá-lá
Terá feliz o coração
O amor encontrará ouvindo esta canção
Alguém compreenderá seu coração

[Verso 3]
Vem ouvir
O hó-bá-lá-lá, hó-bá-lá-lá
Esta canção bá-lá-lá, hó-bá-lá-lá
Hó-bá-lá-lá, hó-bá-lá-lá
Hó-bá-lá-lá
Hó-bá-lá-lá, hó-bá-lá-lá
Hó-bá-lá-lá, hó-bá-lá-lá
Hó-bá-lá-lá, hó-bá-lá-lá...You might also likeEmbed"
O Nosso Amor (Our Love) [Cantando As Musicas do Fil Orfeo do Carnaval],João Gilberto,"bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao",0.402,0.619,0.419,0.805,-13.753,0,0.0416,0.157,106.291,
E Luxo Só,João Gilberto,"bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao",0.346,0.799,0.594,0.794,-16.388,0.000447,0.0315,0.069,109.469,"É Luxo Só Lyrics[Verso]
Olha, esta mulata quando dança
É luxo só
Quando todo seu corpo se embalança
É luxo só
Tem um não sei quê
Que faz a confusão
O que ela não tem meu Deus
É compaixão
Êta, mulata bamba
Olha, esta mulata quando dança
É luxo só
Quando todo seu corpo se embalança
É luxo só
Porém seu coração quando palpita
E se agita mais ligeiro
Nunca vi compasso tão brasileiro
[Saída]
Êta, samba, cai pra lá
Cai pra cá, cai pra lá, cai pra cá
Êta, samba, cai pra lá
Cai pra cá, cai pra lá, cai pra cá
Mexe com as cadeiras, mulata
E o requebrado me maltrata, ai aiYou might also likeEmbed"
Lobo Bobo,João Gilberto,"bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao",0.295,0.812,0.704,0.823,-14.501,0,0.042,0.113,92.91,"Lobo Bobo Lyrics[Letra de ""Lobo Bobo""]

[Verso 1]
Era uma vez um lobo mau
Que resolveu jantar alguém
Estava sem vintém
Mas arriscou e logo se estrepou

[Verso 2]
Um chapeuzinho de maiô
Ouviu buzina e não parou
Mas lobo mau insiste
E faz cara de triste
[Verso 3]
Mas chapeuzinho ouviu
Os conselhos da vovó
Dizer que não pra lobo
Que com lobo não sai só

[Verso 4]
Lobo canta, pede, promete
Tudo até amor
E diz que fraco de lobo
É ver um chapeuzinho de maiô

[Verso 5]
Mas chapeuzinho percebeu
Que o lobo mau se derreteu
Pra ver você que lobo
Também faz papel de bobo

[Saída]
Só posso lhe dizer, chapeuzinho agora traz
O lobo na coleira que não janta
Nunca mais, lobo bobo, uhYou might also likeEmbed"
Saudade Fêz Um Samba,João Gilberto,"bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao",0.301,0.831,0.709,0.876,-14.697,0,0.0508,0.0909,87.841,"Saudade Fêz Um Samba Lyrics[Letra de ""Saudade Fêz Um Samba""]

[Verso]
Deixa que o meu samba
Sabe tudo sem você
Não acredito que o meu samba
Só dependa de você

[Refrão]
A dor é minha, em mim doeu
A culpa é sua, o samba é meu
Então não vamos mais brigar
Saudade fez um samba em seu lugar
[Verso]
Deixa que o meu samba
Sabe tudo sem você
Não acredito que o meu samba
Só dependa de você

[Refrão]
A dor é minha, em mim doeu
A culpa é sua, o samba é meu
Então não vamos mais brigar
Saudade fez um samba em seu lugar

[Verso]
Deixa que o meu samba
Sabe tudo sem você
Não acredito que o meu samba
Só dependa de você

[Refrão]
A dor é minha, em mim doeu
A culpa é sua, o samba é meu
Então não vamos mais brigar
Saudade fez um samba em seu lugar, benzinho
Saudade fez um samba em seu lugar

[Saída]
Clem-dom-clem-dom-clem, dom-clem-dom
Clem-dom-clem-dom-clem, dom-clem-dom
Clem-dom-clem-dom-clem, dom-clem-domYou might also likeEmbed"
María Ninguém,João Gilberto,"bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao",0.138,0.881,0.694,0.698,-16.215,1.78e-06,0.0533,0.145,118.297,"Maria Ninguém Lyrics[Letra de ""Maria Ninguém""]

[Intro]
Pode ser que haja uma melhor, pode ser
Pode ser que haja uma pior, muito bem
Mas igual à Maria que eu tenho
No mundo inteirinho igualzinha não tem

[Verso 1]
Maria Ninguém
É Maria e é Maria, meu bem
Se eu não sou João de nada
Maria que é minha é Maria Ninguém
[Verso 2]
Maria Ninguém
É Maria como as outras também
Só que tem que ainda é melhor
Do que muita Maria que há por aí
Marias tão frias, cheias de manias
Marias vazias pro nome que têm

[Verse 3]
Maria Ninguém
É um dom que muito homem não tem
Haja vista quanta gente que chama Maria
E Maria não vem

[Verso 4]
Maria Ninguém
É Maria e é Maria, meu bem
Eu não sou João de nada
Maria que é minha é Maria Ninguém

[Ponte]
Tum-tom-dim-gum-gum
Po-pum-bó-dó-clim-bum-dum-dum
Dom-dom-dom-dom-gum-gum-gum
Gnom-glem-glum-glum-glum-glam
Hm-hm-hm-hm-hm, dó-ró-ró-ró
You might also like[Verso 3]
Maria Ninguém
É um dom que muito homem não tem
Haja vista quanta gente que chama Maria
E Maria não vem

[Verse 1]
Maria Ninguém
É Maria e é Maria, meu bem
Se eu não sou João de nada
Maria que é minha é Maria NinguémEmbed"
Aos Pés da Cruz,João Gilberto,"bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao",0.272,0.793,0.643,0.785,-15.094,5.52e-06,0.0373,0.126,143.753,"Aos Pés da Cruz Lyrics[Letra de ""Aos Pés da Cruz""]

[Verso 1]
Aos pés da Santa Cruz
Você se ajoelhou
Em nome de Jesus
Um grande amor você jurou
Jurou, mas não cumpriu
Fingiu e me enganou
Pra mim você mentiu
Pra Deus você pecou
[Verso 2]
O coração tem razões
Que a própria razão desconhece
Faz promessas e juras
Depois esquece
Seguindo este princípio
Você também prometeu
Chegou até a jurar um grande amor
Mas depois esqueceu

[Saída]
Pó-pó, pum-bó-pó-pó-ió-ró-ió-ró
Pum-bó-pó-ió
Pó-pó, pum-bó-pó-pó-ió-ró-ró-ró
Ó-ró-ióYou might also likeEmbed"
Doralice,João Gilberto,"bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao",0.321,0.895,0.696,0.964,-17.324,0,0.053,0.106,88.811,"Doralice Lyrics[Verso 1]
Doralice eu bem que te disse
Amar é tolice, é bobagem, ilusão
Eu prefiro viver tão sozinho
Ao som do lamento do meu violão

[Refrão]
Doralice eu bem que te disse
Olha essa embrulhada em que vou me meter
Agora amor, Doralice meu bem
Como é que nós vamos fazer?
[Verso 2]
Doralice eu bem que te disse
Amar é tolice, é bobagem, ilusão
Eu prefiro viver tão sozinho
Ao som do lamento do meu violão

[Refrão]
Doralice eu bem que te disse
Olha essa embrulhada em que vou me meter
Agora amor, Doralice meu bem
Como é que nós vamos fazer?

[Verso 3]
Um belo dia você me surgiu
Eu quis fugir mas você insistiu
Alguma coisa bem que andava me avisando
Até parece que eu estava adivinhando

[Outro]
Eu bem que não queria me casar contigo
Bem que não queria enfrentar esse perigo, Doralice
Agora você tem que me dizer
Como é que nós vamos fazer?You might also likeEmbed"
